reviewer_name,rating,review_text
Rahul Moghe,4.0 out of 5 stars,"Writing this review after using the phone for 5 months.
Pros
- camera clicks amazing pictures, video recording is the best I've seen in a phone so far compared to my previous phones. Stable videos with no shaking
- battery life is good. Lasts an entire day with medium use. I don't game on the phone. Charging is as quick as it is with phones that use USB C.
- display is soo good. So bright
- built is solid, dropped phone a couple of times once with the cover and once without and not even a scratch.
- listening to music and watching videos is a hot cos of how good the speakers r. Crystal clear with the right amount of bass and treble.

Cons
- phone is a tad heavy and using it for hrs on a stretch can result in pain in the wrist or fingers

Got the phone in Diwali sale on discount so bang for buck if u ask me"
Shreyank,4.0 out of 5 stars,Not value for money
yogendra,4.0 out of 5 stars,"#Camara is outstanding
#Battery Backup need improvement
#All is well"
Shobhan,4.0 out of 5 stars,Good
Faizan,4.0 out of 5 stars,Good
Realme buds air 5,4.0 out of 5 stars,"It's an absolute all rounder. I mean you know about apple right, it has never disappointed me this time neither"
Aditya,4.0 out of 5 stars,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones"
Rohit,4.0 out of 5 stars,Nice
harsh gupta,4.0 out of 5 stars,Battery issue
Faiyaz,4.0 out of 5 stars,"Design:
The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.

Display:
One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.

Performance:
Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.

Camera:
The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.

Battery Life:
The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.

Connectivity:
With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity."
"Great product, Good pricing",5.0 out of 5 stars,"The first time I am purchasing a apple product, and I am really happy with the product, performance and the delivery."
Akshay Mokashi,5.0 out of 5 stars,.
debarghyo chaudhuri,4.0 out of 5 stars,"Got it for 65K on Amazon prime day. So as a lifelong android user I have switched to IOS. So will be dividing this into the pros and negs:
Product red 128GB
Pros:
1) Received genuine product from Amazon( was quite sceptic about it though)
2) Built quality excellent
3) Camera quality excellent. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images. And also no shift in dynamic range while shifting B/W wide and ultra wide cams.
4) Display:- Its a really great display, not 120 hz, but the experience is no less than a 120 hz, coz of apple's great software optimization, buttery smooth, no jitters on the screen, won't feel like a 60 hz panel. Now the notch, yes it will be bothering a little bit but its got its own functions, face unlock and stuff (works great in all environmental conditions)after a little while you get adjusted and it got its own magic functions like when when the phone rings and you go close to it, it detects your presence and lowers the vol level.
5) Performance: Most powerful processor in the world.
6) Battery:- With light usage will easily go for 2 days and with heavy 1 day. Remember to follow a charging pattern and it will give a solid battery exp.
7) Speakers: Very loud with a small thump

Cons:
1) To keep photos and stuff you need to buy storage. 5 GB by default but that's nothing. Download google photos as an alternate sol. if you don't wanna buy storage.
2) File management system sucks, android is much better.
3) It has dolby atmos but for that you need a subscription to Apple music.
4) Does not have a telephoto cam, which I think is a must at this price point.
5) Somehow I am not getting 4g+ on my airtel, don't know why but in my android phone always used to get that.
6) No USB C
7) Siri is dumb AF
8) Apple maps are not good, so download Google maps.
9) Google keypad is much better than apple's.
10) Notification panel and those small things like typing in the notification panel and other things that you can do in android is much much better than apple.
11) As of now no haptic feedback while typing maybe coming on IOS 16

Note:- Apple ecosystem still exploring that part but whenever you click any pic it automatically gets updated and I can see it in my Macbook also.

Overall I would say if you are planning to buy a phone for responsiveness and does the everyday stuff without any hanging problems and stuff then buy it, and also if you are planning to keep it for a long time, then I think its a good investment for the future. Its got Great resale value.

Hope this helps in making your decision easier.

Update after 2 weeks of usage:

All the above points remains the same, but I did check out the ecosystem and the experience has been amazing.
1) I can receive and make phone calls (cellular calls) from my macbook, and the call quality is also good.So basically you can keep your phone in some other section of the house and you are working with your macbook somewhere else and if some call comes you can receive that on your macbook. PS:- your phone and macbook should be connected to a similar network, i.e wi-fi.
2) Airplay- Just from the lock screen itself i can play any video and also listen to music from my phone. So basically you can watch youtube amazon prime videos(app not in the macbook but present on phone) and other stuff and also listen to music, and the switch of devices is also seamless. So someone in my house can use my macbook to watch movies on amazon prime(playing from my phone) and I can browse linkedin or FB from my iphone."
Ishwar,4.0 out of 5 stars,"What do you want to hear about iPhone,if you are reading this review,it means that you have already done enough research to buy it.so, congratulations for your new iphone🎉"
Jyoti,4.0 out of 5 stars,Iphone 13 was good but after using 3 to 4 month it start heating. Camera quality is good even better than phone 15( I personally feel that).
Yuva Prasath,5.0 out of 5 stars,Mobile give a premium look very good mobile worth for money
Ayasha Saifi,4.0 out of 5 stars,ok
Placeholder,5.0 out of 5 stars,"i dont need to explain about the feature it an ""iPHONE"" name is enough.
Amazon super fast delivery, activated the phone got full 1 yrs warranty.
super fluid amazing speed nothing more to say."
Tufel Ajmeri,4.0 out of 5 stars,"Do I need to write a review for iPhone ?
People still gonna buy it anyway.
Little bit disappointed from macro lens otherwise who criticize Apple."
Hitesh Makwana,4.0 out of 5 stars,"Camera quality is just awesome 😎
Battery life is also nice
Only problem you will face if you switch from Android is refresh rate
And don't know but apple keyboard isn't made for chatting or typing in lo al language."
V C Mohan,5.0 out of 5 stars,At this price point it's one of the best phones you can get! iOS is smooth as always and the camera setup as absolutely clinical. The downside tho is the minimal battery life but it can get you through an entire day.
Mohan Chhatwani,5.0 out of 5 stars,"I loved the phone
Nice perfomance"
jmk traders,5.0 out of 5 stars,thank You Am Happy
Shalin Sabu,4.0 out of 5 stars,Value for money
Saurabh Raghuvanshi,5.0 out of 5 stars,I love this phone
Placeholder,5.0 out of 5 stars,"Just a small phone you need for every day, work, entertainment and overall a good phone. iOS is one of the best systems overall in the market. Best display best battery best sound best design"
Mohammad Arif,5.0 out of 5 stars,iphone ha yaar lalo sab log or vesa bhi 13 ki ti bhout value ha
Arun,5.0 out of 5 stars,The phone dropped 3k on the day it was delivered. Feels like getting cheated.
Autohub India,5.0 out of 5 stars,Best buy instead of IP 14.
Amazon Customer,5.0 out of 5 stars,Great Phone
Avnish Shukla,5.0 out of 5 stars,"Good camera, nice performance, excellent display, fabulous sound"
Jayant,4.0 out of 5 stars,"iPhone 13 is like wow , I have updated from my iPhone SE 2020 to 13 and then I’m feeling like wonderful.the phone camera is 4.5 out of 5 .
Multitasking is very easy and thanks to Amazon for secure packaging."
Kumaresh,4.0 out of 5 stars,SUS
Sam,5.0 out of 5 stars,"I recently upgraded to the iPhone 13, and I couldn't be happier! The sleek design, stunning display, and lightning-fast performance make it a standout device. The camera quality is exceptional, capturing every moment with clarity and precision."
Avinash bogi,5.0 out of 5 stars,It was awesome phone
GS Patel,5.0 out of 5 stars,Camera is excellent.
koushik chaki,5.0 out of 5 stars,"I am using it since January, and completely satisfied. No doubt on product originality from seller end.
However facing some heating issue while continuous network usage."
prashant ashtekar,5.0 out of 5 stars,Original. Good camera quality
Gopal krishna Reddy,5.0 out of 5 stars,Everything looks good
Vishal,5.0 out of 5 stars,On time delivery and smooth process
